veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
42430308-42437654_vt1.0;338.71143022742115;6.0;35;88;False
42430308-42437654_vt2.0;335.2095958822378;4.0;39;92;False
5481838621-5481838629_vt1.0;227.64246707345825;9.0;80;118;False
5481838621-5481838629_vt2.0;227.558561202144;7.0;81;123;False
62915509-62915525_vt1.0;508.9879950506163;67.0;1;130;False
62915509-62915525_vt2.0;511.0752628788117;61.0;5;138;False
5458524666-62915525_vt1.0;525.4579441451668;58.0;26;149;False
42446668-593915305_vt1.0;324.5450000803205;28.0;84;150;False
5458524666-5481838629_vt1.0;557.2750489045968;57.0;25;155;False
42446668-593915274_vt1.0;365.1588122705125;36.0;77;157;False
42446668-593915202_vt1.0;436.28386974255204;30.0;74;161;False
5458524666-5481838629_vt2.0;558.3312046236695;12.0;74;162;False
42446668-593915305_vt2.0;311.89317316387314;0.0;136;176;False
42435644-593915305_vt1.0;776.5406802612448;70.0;15;179;False
42446668-593915274_vt2.0;362.96745773013686;0.0;133;179;False
593915213-593915305_vt1.0;1202.5815183622888;51.0;1;181;False
42435644-593915305_vt2.0;776.4356254355471;59.0;19;185;False
593915267-593915274_vt2.0;729.3867303000001;63.0;18;186;False
593915267-593915274_vt1.0;730.360637793552;69.0;14;188;False
593915213-62915525_vt1.0;1025.203949376626;62.0;14;189;False
593915213-593915305_vt2.0;1198.5334636194473;39.0;5;197;False
593915267-593915305_vt1.0;850.6891216468987;93.0;7;199;False
593915213-593915274_vt1.0;1090.050447513738;60.0;8;202;False
593915267-593915305_vt2.0;844.011890969291;82.0;11;209;False
593915213-62915525_vt2.0;1014.2897864545034;58.0;18;209;False
593915213-593915274_vt2.0;1079.842062519094;53.0;11;211;False
42435644-42437654_vt1.0;564.1320820222472;26.0;131;221;False
61275600-62915525_vt1.0;1127.8110324013232;114.0;1;235;False
42435644-593915274_vt1.0;812.3912215999869;108.0;8;238;False
42430308-42435644_vt1.0;1162.8318006475886;61.0;28;240;False
42446668-593915202_vt2.0;436.2954570437043;52.0;129;240;False
42430308-593915202_vt1.0;1354.9362680301354;53.0;15;240;False
4215909068-42424089_vt1.0;599.6812110011897;29.0;136;240;False
4215909068-42443618_vt1.0;341.0521160226254;44.0;152;242;False
4215909068-42449982_vt1.0;637.5365280477192;37.0;129;244;False
42430308-593915202_vt2.0;1351.120349660227;46.0;18;244;False
42435644-593915274_vt2.0;802.2241361644745;101.0;12;244;False
42435644-593915202_vt1.0;881.8623542530402;132.0;1;245;False
42430308-42435644_vt2.0;1151.3060190677263;58.0;32;247;False
42435644-593915202_vt2.0;877.4804158251675;115.0;5;249;False
4215909068-42443618_vt2.0;332.4842302716518;42.0;155;249;False
4215909068-42449982_vt2.0;628.6742652864609;32.0;133;250;False
42443804-561042200_vt1.0;767.3756896056037;109.0;34;250;False
42443804-42443950_vt1.0;790.812186656344;123.0;27;252;False
4215909068-42455963_vt1.0;492.9503954761698;47.0;146;252;False
42431563-42440966_vt1.0;613.7251520044924;22.0;156;253;False
42443804-561042200_vt2.0;769.7793232231298;105.0;38;261;False
42431563-42440966_vt2.0;609.661839969561;19.0;160;262;False
42443804-42443950_vt2.0;786.9044775184518;119.0;31;263;False
4215909068-42455963_vt2.0;487.98166564201455;45.0;151;263;False
61275600-62915525_vt2.0;1123.1791280527898;120.0;5;270;False
42430308-42443950_vt1.0;608.0942865753217;48.0;153;272;False
4215909068-42443618_vt1.1;342.08796969232174;0.0;236;276;False
3569749123-4207912631_vt1.0;243.64296441073327;38.0;211;281;False
42430308-42443950_vt2.0;604.1686673803392;47.0;156;283;False
3569749123-4207912631_vt2.0;238.0226821866567;35.0;214;284;False
42435644-593915305_vt1.1;773.6508455031773;104.0;87;284;False
42435644-593915305_vt1.2;781.4150984335424;30.0;167;284;False
1283225231-4546351682_vt1.0;509.5442588284341;0.0;231;286;False
42430308-593915305_vt1.0;1390.2888847786166;111.0;8;286;False
593915267-62915525_vt1.0;1227.522010324189;148.0;1;289;False
42430308-593915305_vt2.0;1386.8052113734889;91.0;12;291;False
42430308-42437654_vt1.1;340.09681801563124;0.0;256;292;False
593915267-62915525_vt2.0;1225.5651463684849;126.0;4;297;False
1283225231-4546351682_vt2.0;512.5083814197965;0.0;234;299;False
593915305-62915525_vt1.0;1473.9578957396702;124.0;1;300;False
593915305-62915525_vt2.0;1463.7109136546014;101.0;4;302;False
42430308-593915274_vt1.0;1290.7262262934557;126.0;21;315;False
42436527-42449982_vt1.0;276.70707458317645;83.0;192;316;False
42430308-593915274_vt2.0;1284.5006564891328;122.0;25;322;False
42424098-42449982_vt1.0;354.27198948134605;103.0;163;325;False
42443804-42446977_vt1.0;683.3245987346647;157.0;70;326;False
5458524666-62915525_vt2.0;1624.39821873285;40.0;75;326;False
42443804-42446977_vt2.0;680.790901980032;145.0;73;327;False
42435644-42437654_vt2.0;562.0530608269432;109.0;135;328;False
42424098-42449982_vt2.0;354.40480497284545;89.0;178;329;False
5481838621-5481838629_vt1.1;230.30409797490486;38.0;256;332;False
42429980-42449982_vt1.0;363.87989708168334;51.0;228;332;False
42429980-42449982_vt2.0;358.88375657449564;3.0;284;337;False
62915509-62915525_vt1.1;509.8742386156092;42.0;241;340;False
42435644-593915274_vt1.1;813.221860532812;153.0;84;340;False
4215909068-42442961_vt1.1;527.2929977948293;44.0;232;341;False
42449948-42453087_vt1.0;1023.444408277831;83.0;122;342;False
42435644-593915274_vt1.2;804.6264835128011;79.0;164;343;False
4207932666-42453545_vt1.0;541.1495816566965;103.0;173;344;False
4215909068-42424089_vt1.1;604.7790200148628;45.0;229;346;False
4546351682-5458524665_vt1.0;2442.5593993019966;43.0;32;347;False
4215909068-42449982_vt1.1;629.1551781240516;48.0;226;348;False
42449948-42453087_vt2.0;1015.7615784266864;82.0;126;348;False
42448390-42455963_vt1.1;512.4670352528337;11.0;280;349;False
42435644-593915202_vt1.1;880.5793100964917;157.0;81;352;False
4215909068-42455963_vt1.1;496.98501901569284;56.0;235;352;False
4207932666-42453545_vt2.0;539.4563981145845;99.0;177;352;False
42435644-593915202_vt1.2;880.5774128330951;82.0;161;354;False
4207932666-42453545_vt1.1;539.6590593261037;23.0;258;354;False
42446668-593915305_vt1.1;317.8388839239049;30.0;285;357;False
5458524666-62915525_vt1.1;526.611486491777;37.0;254;357;False
5458524666-5481838629_vt1.1;555.8275726127811;40.0;253;360;False
42446668-593915274_vt1.1;365.92202196180637;30.0;283;360;False
4215909068-42443618_vt1.2;339.5298805366673;0.0;324;363;False
4215909068-42442961_vt1.0;859.3057735846983;100.0;141;364;False
42448390-42449982_vt1.0;996.236493029841;157.0;80;365;False
42449948-42455963_vt2.0;1200.291012789598;87.0;119;365;False
42446668-593915202_vt1.1;438.1762429760359;33.0;280;367;False
1283225231-4207815982_vt1.0;475.8700451062688;71.0;238;368;False
1283225231-4207815982_vt2.0;469.3128246031495;62.0;241;370;False
42443804-42453087_vt2.0;1555.4726262398901;87.0;66;370;False
4215909068-42442961_vt2.0;855.5365241061259;89.0;143;371;False
42449948-561042200_vt1.0;1315.1488405506757;135.0;63;371;False
4215909068-42455963_vt1.2;493.8614887022326;0.0;323;375;False
4215909068-42424089_vt2.0;935.5536564806721;90.0;140;376;False
42435644-42443950_vt1.0;1222.5478190330132;113.0;125;378;False
3569749123-42446977_vt1.0;648.1137202163923;92.0;205;378;False
42436527-42449982_vt2.0;275.2068031343692;137.0;196;380;False
1283225231-62915525_vt1.0;2602.5119174002434;32.0;52;381;False
42435644-42443950_vt2.0;1224.2521348334978;92.0;128;382;False
