veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
62915509-62915525_vt1.0;514.2495471367248;21.0;1;86;False
62915509-62915525_vt2.0;510.6302544855696;14.0;5;93;False
42430308-42437654_vt1.0;343.13599154702445;25.0;35;107;False
5458524666-62915525_vt1.0;523.6885107066593;16.0;26;107;False
42435644-593915305_vt1.0;779.6399671941276;6.0;15;109;False
42430308-42437654_vt2.0;339.92571042962953;23.0;39;111;False
593915267-593915274_vt1.0;728.5001112279527;9.0;14;113;False
42435644-593915305_vt2.0;771.2593380945269;0.0;19;114;False
593915267-593915274_vt2.0;731.4822815947003;2.0;18;120;False
593915267-593915305_vt1.0;851.2202831458522;26.0;7;131;False
5481838621-5481838629_vt1.0;232.28314559914995;47.0;50;134;False
5481838621-5481838629_vt2.0;228.0778758137535;46.0;51;138;False
5458524666-5481838629_vt1.0;559.3046873234099;36.0;25;140;False
42435644-593915274_vt1.0;807.1509595451472;28.0;8;142;False
42435644-593915202_vt1.0;880.1397610189997;39.0;1;149;False
42435644-593915274_vt2.0;805.0441641582502;24.0;12;149;False
42446668-593915305_vt1.0;314.77968726953117;2.0;108;154;False
42435644-593915202_vt2.0;883.7837093149463;28.0;5;155;False
42443804-561042200_vt1.0;772.2127509845392;28.0;34;160;False
42446668-593915274_vt1.0;367.6209341520639;6.0;104;164;False
42435644-593915305_vt1.1;780.4940948423169;0.0;87;165;False
42446668-593915305_vt2.0;316.23645760013164;0.0;123;166;False
593915213-593915305_vt1.0;1202.6033290077698;32.0;1;166;False
593915267-593915305_vt2.0;839.4544498201382;42.0;11;171;False
42443804-561042200_vt2.0;764.3122289089233;22.0;38;171;False
42430308-593915305_vt1.0;1390.9129285045196;3.0;8;172;False
593915213-62915525_vt1.0;1023.8497241320599;35.0;14;176;False
4215909068-42443618_vt1.0;339.5130296382524;0.0;141;181;False
593915213-62915525_vt2.0;1018.8399577905882;24.0;18;186;False
4215909068-42443618_vt2.0;335.8316769287605;0.0;144;190;False
42443804-42443950_vt1.0;787.9532059518209;65.0;27;191;False
42443804-42443950_vt2.0;788.7729750843275;47.0;31;192;False
42435644-42437654_vt1.0;562.862153582528;15.0;111;193;False
5458524666-5481838629_vt2.0;551.7576155089245;66.0;47;194;False
42446668-593915274_vt2.0;356.0428198308631;40.0;105;202;False
42446668-593915202_vt2.0;432.205691836463;32.0;101;205;False
42435644-593915274_vt1.1;813.2352186779397;23.0;84;205;False
42446668-593915202_vt1.0;437.8708912607932;34.0;97;206;False
61275600-62915525_vt1.0;1135.2702359828052;71.0;1;206;False
4215909068-42442961_vt1.0;525.5219189027257;6.0;131;207;False
5481838621-62915525_vt1.0;839.5911670965197;57.0;44;208;False
42449948-42453087_vt1.0;1013.9856329102269;2.0;84;208;False
42430308-42435644_vt1.0;1162.7180104643244;37.0;28;210;False
4215909068-42424089_vt1.0;600.8811937204755;9.0;125;210;False
42424098-42449982_vt1.0;349.2107675323643;0.0;163;211;False
4215909068-42442961_vt2.0;521.2936202647921;6.0;134;214;False
