epoch;cumulative_distance;cumulative_waiting_time
74;105000.57036771301;5910.0
75;107429.95800425654;6107.0
76;109874.91228209143;6308.0
77;112320.51492637947;6514.0
78;114761.10750887083;6728.0
79;117204.56351220187;6951.0
80;119620.38154630679;7176.0
81;121698.40964300658;7392.0
82;124127.76739692404;7600.0
83;126576.48824655704;7804.0
84;129094.70404560884;8005.0
85;131627.12924496175;8207.0
86;133786.94072286203;8412.0
87;136199.64443589907;8620.0
88;138546.97195687762;8844.0
89;140782.05549466226;9083.0
90;142888.36899278098;9337.0
91;145070.07562290036;9517.0
92;147393.30217907604;9659.0
93;149904.545028558;9791.0
94;152632.56242160418;9915.0
95;155583.04866030367;10043.0
96;158669.52355220297;10177.0
97;161846.08719508426;10323.0
98;165033.79445687946;10487.0
99;168211.30300424734;10660.0
100;171394.69144553883;10841.0
101;174563.8796126906;11033.0
102;177699.60801058443;11238.0
103;180795.474319693;11454.0
104;183886.7496839432;11682.0
105;186973.2849396635;11915.0
106;190048.7069013812;12155.0
107;192869.4419856952;12405.0
108;195883.32118944725;12665.0
109;198893.1629268739;12928.0
110;201864.78582990431;13204.0
111;204599.96982581977;13485.0
112;207519.5175529909;13781.0
113;210407.71272828468;14081.0
114;213272.00368496776;14390.0
115;216112.39912597713;14707.0
116;218410.60839222145;14977.0
117;221176.09490382142;15311.0
118;223942.54332615685;15647.0
119;226713.7948535773;15988.0
120;229499.79525901077;16332.0
121;232268.0920751742;16678.0
122;235012.94300361304;17030.0
123;237207.10282101636;17337.0
124;239868.24035201705;17693.0
125;242497.97200754719;18054.0
126;245118.64339875348;18418.0
127;247700.99887949487;18788.0
128;250282.73912582133;19160.0
129;252906.06491515026;19536.0
130;255515.61414302903;19909.0
131;258060.00995905956;20277.0
132;260487.80184257304;20644.0
133;262721.3490276542;21018.0
134;264224.7475855114;21374.0
135;266179.1323059634;21799.0
136;268210.23649005254;22188.0
137;269839.43787557975;22497.0
138;272226.7435138791;22826.0
139;274880.76292507944;23149.0
140;277800.3420321504;23462.0
141;281007.2532691102;23773.0
142;284395.219413152;24072.0
143;287397.8746023024;24357.0
144;291097.72741459345;24639.0
145;294885.0620940565;24919.0
146;298721.8114675783;25195.0
147;302568.0892022645;25469.0
148;306472.87694594276;25744.0
149;310368.8752451469;26030.0
150;314269.513756522;26317.0
151;318166.1444554334;26607.0
152;322067.3484963952;26901.0
153;325967.27681890735;27198.0
154;329871.97825443046;27501.0
155;333806.3750500164;27809.0
156;337764.95414541103;28128.0
157;340899.31405665254;28404.0
158;344055.07299531886;28684.0
159;347900.2895335743;29021.0
160;351683.9142969497;29361.0
161;355483.25339417194;29705.0
162;358450.45852558117;30014.0
163;362173.010570245;30369.0
164;365885.0751665343;30738.0
165;367618.14167169336;31034.0
166;371255.08628685767;31411.0
167;374921.7355370453;31791.0
168;378579.3331795521;32178.0
169;382234.59466410807;32572.0
170;385871.11078379716;32971.0
171;389453.09659570025;33369.0
172;392987.81722756434;33766.0
173;396517.43012218154;34170.0
174;399027.24351934897;34533.0
175;402487.73430728924;34947.0
176;404988.06754312105;35291.0
177;408181.3069970494;35713.0
178;411183.5791911413;36147.0
179;412883.8468078914;36561.0
180;415486.03559935756;37037.0
181;418248.5510769564;37395.0
182;421294.83352491516;37683.0
183;424704.9842904892;37938.0
184;428551.72105923307;38178.0
185;432713.7732117506;38418.0
186;436224.5063491296;38599.0
187;440677.9196698576;38851.0
188;445216.6637882994;39116.0
189;449731.88989443914;39397.0
190;453530.83009116596;39673.0
191;457997.49115985184;39988.0
192;462443.1456198027;40313.0
193;466126.453045137;40641.0
194;470450.16693083255;40987.0
195;474727.7732052325;41346.0
196;478934.5507076317;41722.0
197;483090.49288820213;42110.0
198;487175.97606609296;42514.0
199;491202.6779681281;42930.0
200;495155.5660309935;43359.0
201;498499.0138285698;43748.0
202;502289.33601933473;44196.0
203;506017.17171425687;44656.0
204;509697.58907452755;45125.0
205;512855.4016109819;45567.0
206;516399.05894093413;46056.0
207;519081.3434049399;46465.0
208;522535.8663769666;46969.0
209;525944.6217753143;47475.0
210;528768.1832173644;47943.0
211;532066.9515571317;48464.0
212;535321.5333004551;48992.0
213;538564.7792664173;49524.0
214;541794.2315120292;50063.0
215;544972.8239025826;50611.0
216;545704.7953455045;50931.0
217;548722.5940537162;51490.0
218;551383.3075763552;52014.0
219;553948.7535337539;52545.0
220;556053.3391628121;53027.0
221;556832.8617390959;53397.0
222;557615.186811358;53757.0
223;559843.0430781803;54334.0
224;561870.8682178172;54929.0
225;563785.032215681;55547.0
226;565468.7569118813;56061.0
227;567724.2728055968;56554.0
228;570317.3030521077;57016.0
229;573310.7956412974;57458.0
230;576751.3587495994;57879.0
231;579740.2612759774;58202.0
232;583779.7934368008;58585.0
233;588020.7412892884;58951.0
234;591784.3454915378;59282.0
235;595662.7044447073;59630.0
236;600217.9630614122;59969.0
237;604804.3207508982;60307.0
238;609381.8753552588;60647.0
239;613945.5650432464;60994.0
240;618453.7659793888;61352.0
241;622928.2563541881;61718.0
242;627443.1163628919;62092.0
243;631993.7990290776;62471.0
244;636601.4297292065;62862.0
245;640670.4401421956;63241.0
246;644777.9298989938;63647.0
247;647386.4946829185;63918.0
248;652209.923408947;64340.0
249;656797.6069838434;64765.0
250;661660.8275212138;65199.0
251;666522.6058316721;65644.0
252;671408.9981002024;66099.0
253;675107.9946345555;66471.0
254;679763.4318581859;66946.0
255;683212.2449784166;67377.0
256;686987.6140188045;67779.0
257;691776.0436077194;68291.0
258;696508.0343816889;68819.0
259;699943.1369880257;69255.0
260;704551.1888118578;69802.0
261;709159.9177709813;70359.0
262;713712.5547740535;70923.0
263;718252.0379269279;71496.0
264;721534.5805579809;71979.0
265;725911.5437589237;72560.0
266;728649.3619253981;73057.0
267;732627.0258815013;73654.0
268;736347.5985484312;74270.0
269;739866.3950854861;74916.0
270;743186.9354979958;75596.0
271;746726.1925024827;76103.0
272;750670.9585177809;76519.0
273;755094.6092317062;76905.0
274;760091.1123896191;77271.0
275;765562.9938558117;77656.0
276;771377.9537842048;78059.0
277;776087.9772718241;78391.0
278;782192.9193651611;78823.0
279;788399.7072331901;79270.0
280;794250.5193669422;79662.0
281;799153.3611088715;80020.0
282;804419.9126015289;80386.0
283;807822.1266069165;80722.0
284;812053.7749927513;81115.0
285;817901.6497314537;81667.0
286;823669.6783111764;82229.0
287;828096.8181666359;82677.0
288;833437.823628018;83215.0
289;839069.491778096;83804.0
290;844671.3136225595;84403.0
291;850181.577477613;85017.0
292;855624.9163108971;85643.0
293;861042.3135832493;86279.0
294;866051.9494499947;86885.0
295;869984.9052671922;87428.0
296;875193.6064110794;88095.0
297;879353.3139536519;88749.0
298;884501.7395707093;89435.0
299;886313.5274110447;89884.0
300;888421.7417049275;90305.0
301;893392.3309310619;91008.0
302;898322.1728167845;91716.0
303;902581.1184891679;92419.0
304;905037.9634239282;93037.0
305;907877.519057619;93623.0
306;912014.4860307722;94302.0
307;916658.1400192686;95034.0
308;920119.7045364772;95662.0
309;924730.4902909828;96411.0
310;929277.2266900596;97149.0
311;931431.5681275361;97766.0
312;934970.091504411;98472.0
313;938752.355105318;99221.0
314;942376.8254555186;99996.0
315;945835.3162879825;100805.0
316;948877.962273159;101489.0
317;952834.407031821;102106.0
318;957232.2624877818;102691.0
319;962178.5801085955;103247.0
320;966807.9929457902;103758.0
321;971801.2169697785;104215.0
322;976415.8613264197;104670.0
323;982889.544974325;105163.0
324;989565.4986158357;105649.0
325;996044.8609501147;106028.0
326;1001145.3885732819;106413.0
327;1007986.1973470068;106889.0
