epoch;cumulative_distance;cumulative_waiting_time
74;105021.89480099543;5915.0
75;107503.48945388624;6112.0
76;110003.2002899875;6313.0
77;112497.0878710835;6519.0
78;114979.19848408662;6728.0
79;117455.87644665265;6946.0
80;119910.44230677851;7170.0
81;121987.8566270018;7403.0
82;124362.23870011633;7638.0
83;126700.22876493171;7881.0
84;129035.17220571199;8132.0
85;130952.98852118335;8389.0
86;133098.72571879343;8652.0
87;135128.49482402016;8934.0
88;137058.9448822626;9225.0
89;138886.61258710612;9527.0
90;140588.19840796725;9845.0
91;142369.35618061735;10078.0
92;144336.12090685978;10260.0
93;146537.62730023087;10419.0
94;149041.16571535368;10565.0
95;151855.2952728474;10703.0
96;154847.39359045454;10846.0
97;157973.94154160479;10997.0
98;161180.3532554466;11156.0
99;164384.98794742706;11330.0
100;167577.00880700143;11519.0
101;170744.6191553066;11716.0
102;173881.465313025;11933.0
103;176974.6276112651;12155.0
104;180033.92905756636;12390.0
105;183052.89252200743;12634.0
106;186045.48109941848;12885.0
107;188756.7029568046;13147.0
108;191682.7465911172;13413.0
109;194607.35216567092;13686.0
110;197529.85963428885;13970.0
111;200438.04762106537;14263.0
112;203299.43325341234;14566.0
113;206116.7306665703;14876.0
114;208893.73452886284;15194.0
115;211660.98568056663;15521.0
116;213894.87887099155;15800.0
117;216630.83137488188;16140.0
118;219352.82723620746;16485.0
119;222072.6381597765;16838.0
120;224808.54996289342;17196.0
121;227496.17891482043;17557.0
122;230173.12468333362;17923.0
123;232321.68519481117;18247.0
124;234963.86125178085;18625.0
125;237585.4940467661;19008.0
126;240169.9180336139;19399.0
127;242762.40274909863;19793.0
128;245370.80420231097;20192.0
129;247968.55982577195;20599.0
130;250529.57686740812;20995.0
131;252966.77665051763;21379.0
132;255206.06113009996;21768.0
133;257265.8956878775;22158.0
134;258632.09777332988;22532.0
135;260411.5331719895;22974.0
136;261681.9831601416;23337.0
137;263678.6695954641;23702.0
138;265897.39104442904;24045.0
139;268370.4626427661;24366.0
140;271114.76836486685;24679.0
141;274133.53815245564;24980.0
142;277367.3250443608;25269.0
143;280252.3156694268;25548.0
144;283850.20113199035;25831.0
145;287563.8786208578;26112.0
146;291332.5384129754;26392.0
147;295114.1533652819;26667.0
148;298942.5475158078;26941.0
149;302787.78293736954;27223.0
150;306621.85136209964;27507.0
151;310416.5513375809;27795.0
152;314217.34810819733;28088.0
153;318007.8769982419;28388.0
154;321794.76656086213;28696.0
155;325630.9046318421;29011.0
156;329484.6910484201;29338.0
157;332524.43883888685;29619.0
158;335587.1153909748;29903.0
159;339384.5431477589;30243.0
160;343171.64991226984;30592.0
161;346954.8805693099;30942.0
162;349965.0227399902;31260.0
163;353731.6816583241;31626.0
164;357457.8439063268;31997.0
165;360399.7072907104;32331.0
166;364042.27785350225;32714.0
167;367667.5184209196;33103.0
168;371230.0848492939;33500.0
169;374749.8837032093;33902.0
170;378215.3442657872;34318.0
171;380409.12991814653;34709.0
172;383762.27621510194;35147.0
173;387108.47066067427;35591.0
174;389379.3946199218;36000.0
175;392571.08654792345;36467.0
176;394725.8036710588;36874.0
177;397511.2763577924;37368.0
178;400102.9592552434;37881.0
179;401360.0344500784;38378.0
180;402268.0157221362;38912.0
181;404536.12517683365;39324.0
182;407190.7366674286;39652.0
183;410335.8349439242;39929.0
184;413994.8507125235;40187.0
185;418132.2203724763;40443.0
186;421725.79106166505;40652.0
187;426341.6949233672;40930.0
188;431102.26242369873;41220.0
189;435951.05581054615;41515.0
190;440872.83695157873;41827.0
191;444428.25828772166;42124.0
192;449360.2888997544;42457.0
193;454288.5863105118;42801.0
194;459240.0370584614;43155.0
195;463923.7054908539;43445.0
196;468800.39451509895;43823.0
197;473697.92150657176;44216.0
198;478554.87231445935;44617.0
199;483385.4150493315;45029.0
200;488181.0153693314;45455.0
201;492942.9305291511;45895.0
202;497661.6928959722;46350.0
203;502338.1465952831;46817.0
204;506975.7392992863;47294.0
205;510280.4574811681;47645.0
206;514787.2588759912;48144.0
207;519231.0532687088;48658.0
208;523637.1823435944;49183.0
209;527961.9066690792;49720.0
210;532246.665534453;50268.0
211;536457.6496300743;50833.0
212;540591.5542274473;51404.0
213;544688.2499615836;51993.0
214;548687.7503860446;52592.0
215;551781.501472393;53121.0
216;554877.3731075773;53652.0
217;557421.3436013769;54128.0
218;560813.8545051215;54726.0
219;564432.3487891802;55381.0
220;566809.7181531267;55900.0
221;569245.1308577895;56454.0
222;571572.324811961;57001.0
223;574529.6396629983;57670.0
224;577298.842093559;58365.0
225;579856.3776352074;59085.0
226;582477.708901393;59720.0
227;585339.1903213592;60303.0
228;588562.5132572703;60859.0
229;592225.5722856383;61394.0
230;595192.5817264501;61797.0
231;599672.4351212068;62292.0
232;603675.2912700176;62689.0
233;608724.5571865981;63148.0
234;613946.6264576019;63595.0
235;619331.3615221119;64030.0
236;624251.1768229163;64451.0
237;629907.9030985376;64878.0
238;635631.6131910722;65305.0
239;641413.374463003;65736.0
240;647220.4827149971;66163.0
241;652997.8464859142;66600.0
242;658756.7894919355;67043.0
243;664459.4572883276;67502.0
244;670150.8891435527;67977.0
245;675826.028526686;68458.0
246;681177.9641378758;68943.0
247;685294.4422576679;69324.0
248;690342.1362316487;69812.0
249;694295.9543311672;70257.0
250;699801.3673080404;70781.0
251;705268.743249744;71315.0
252;710711.812729393;71861.0
253;715918.1453982275;72417.0
254;719945.2108700369;72930.0
