veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
42430308-42437654_vt1.0;337.8986141665448;5.0;35;88;False
42430308-42437654_vt2.0;337.0782153455103;6.0;39;93;False
5481838621-5481838629_vt1.0;226.46256291277837;28.0;61;118;False
5481838621-5481838629_vt2.0;224.94165159919913;25.0;62;123;False
62915509-62915525_vt1.0;517.9211113648827;68.0;1;131;False
62915509-62915525_vt2.0;512.4745664876313;61.0;5;139;False
5458524666-62915525_vt1.0;523.7540787176331;58.0;26;149;False
42446668-593915274_vt1.0;362.10100122450484;30.0;78;152;False
5458524666-62915525_vt2.0;526.6245416682686;21.0;68;160;False
42435644-593915305_vt1.0;775.3591174030768;56.0;15;163;False
42435644-593915305_vt2.0;769.0961199960213;45.0;19;169;False
593915213-593915305_vt1.0;1200.0457768042336;51.0;1;180;False
593915267-593915274_vt1.0;730.8104293877163;71.0;14;181;False
593915267-593915274_vt2.0;731.8038320288441;66.0;18;188;False
593915213-593915305_vt2.0;1194.0705728009657;39.0;5;197;False
593915267-593915305_vt1.0;843.9963883903897;94.0;7;198;False
593915213-593915274_vt1.0;1088.7336933907911;58.0;8;202;False
42443804-42446977_vt1.0;679.786021716596;45.0;68;208;False
5458524666-5481838629_vt1.0;562.4782920836059;109.0;25;209;False
593915267-593915305_vt2.0;840.6221315836715;82.0;11;209;False
4215909068-42443618_vt1.0;337.64144387787996;18.0;145;210;False
593915213-593915274_vt2.0;1085.2702480854018;51.0;11;212;False
5458524666-5481838629_vt2.0;556.4793089744504;64.0;67;213;False
4215909068-42443618_vt2.0;330.63646919516725;19.0;148;217;False
42446668-593915202_vt1.0;440.5721491358907;71.0;75;219;False
61275600-62915525_vt1.0;1127.8908539723952;87.0;1;221;False
5481838621-62915525_vt1.0;831.8287842463562;64.0;54;223;False
42435644-593915274_vt1.0;811.9592096187921;95.0;8;225;False
4215909068-42455963_vt1.0;490.4527031151456;29.0;141;229;False
42446668-593915305_vt1.0;316.4402815047505;52.0;133;229;False
42435644-593915202_vt1.0;883.825518969399;119.0;1;231;False
42446668-593915305_vt2.0;319.2126356797603;51.0;134;231;False
5481838621-62915525_vt2.0;834.5820255679805;57.0;58;231;False
42449948-42453087_vt1.0;1018.5420452290089;21.0;107;233;False
42435644-593915274_vt2.0;804.2513271302887;83.0;12;235;False
42435644-593915202_vt2.0;880.7949674698142;106.0;5;236;False
4215909068-42455963_vt2.0;486.7207556675504;22.0;143;238;False
42446668-593915274_vt2.0;360.79775108893375;53.0;131;238;False
42430308-42435644_vt1.0;1162.353111675518;59.0;28;240;False
4215909068-42424089_vt1.0;597.4428632617992;33.0;130;240;False
42446668-593915202_vt2.0;430.2082101028306;58.0;127;241;False
42449948-42453087_vt2.0;1010.4114609845635;2.0;110;242;False
4215909068-42449982_vt1.0;634.3887515556339;45.0;123;243;False
42431563-42440966_vt1.0;611.3684923016142;17.0;155;247;False
42430308-42435644_vt2.0;1157.928274628123;55.0;32;248;False
4215909068-42424089_vt2.0;598.9635331002733;32.0;134;249;False
4215909068-42449982_vt2.0;628.1544416449473;35.0;127;250;False
42443804-561042200_vt1.0;770.5575624242706;111.0;34;250;False
42443804-42443950_vt1.0;792.302060306018;125.0;27;252;False
42431563-42440966_vt2.0;605.5514803959809;16.0;158;255;False
4215909068-42443618_vt1.1;341.25412235356794;0.0;219;259;False
61275600-62915525_vt2.0;1128.6537860712604;104.0;5;261;False
42443804-561042200_vt2.0;764.7184927480313;107.0;38;261;False
42443804-42443950_vt2.0;781.7619830705856;118.0;31;263;False
42435644-42437654_vt1.0;566.9529384041545;59.0;134;267;False
42435644-593915305_vt1.1;775.6828784081512;91.0;87;269;False
42435644-593915305_vt1.2;781.216804496914;15.0;167;269;False
4215909068-42455963_vt1.1;497.422811452098;0.0;218;270;False
42430308-593915305_vt1.0;1388.8744383267153;93.0;8;271;False
42430308-42443950_vt1.0;603.0430331342675;49.0;140;273;False
42435644-593915274_vt1.1;809.2469944519021;92.0;84;274;False
3569749123-4207912631_vt1.0;247.66309214603865;35.0;206;276;False
