epoch;cumulative_distance;cumulative_waiting_time
1;0.0;0.0
2;62.41798546257917;0.0
3;181.24274026385237;1.0
4;362.4070196181334;3.0
5;615.8805304565014;5.0
6;982.705402576618;7.0
7;1436.4954752376884;9.0
8;1946.3947137000675;11.0
9;2541.1389933122546;13.0
10;3191.2161375859814;15.0
11;3880.924849196513;17.0
12;4640.079845972303;21.0
13;5479.035717477727;25.0
14;6360.082285264881;31.0
15;7292.053168366376;40.0
16;8282.936957211743;49.0
17;9311.429362389428;61.0
18;10395.732466635765;72.0
19;11514.642464484174;87.0
20;12702.45547785452;103.0
21;13933.646276948604;122.0
22;15202.939586831517;142.0
23;16482.118275308756;164.0
24;17781.669277938032;179.0
25;19118.069644229887;190.0
26;20495.189731941544;198.0
27;21936.828466975938;212.0
28;23467.203664284356;231.0
29;25058.012492281716;251.0
30;26710.065800694058;275.0
31;28399.10453656303;300.0
32;30126.900308115444;329.0
33;31878.92967229752;363.0
34;33667.932681583356;403.0
35;35487.45431080664;446.0
36;37350.09152027329;486.0
37;39254.048403771696;523.0
38;41195.08149739829;561.0
39;43194.51828358188;601.0
40;45249.29498270856;647.0
41;47354.42162987621;694.0
42;49488.996917175915;741.0
43;51660.178443537094;787.0
44;53834.36237253129;836.0
45;55995.758937688006;891.0
46;58208.92853060398;922.0
47;60505.39468139253;949.0
48;62855.08258713466;983.0
49;65266.25660227655;1018.0
50;67748.00074775472;1061.0
51;70273.90359925883;1114.0
52;72757.32875633547;1174.0
53;75249.90328288476;1245.0
54;77706.63812207505;1322.0
55;80125.95055051502;1405.0
56;82507.02026761042;1496.0
57;84867.91365898831;1595.0
58;87222.40687022333;1706.0
59;89592.21649418249;1816.0
60;91978.58094666533;1925.0
61;94394.42234938119;2034.0
62;96859.76759714218;2144.0
63;99367.17709319534;2257.0
64;101916.11313024035;2373.0
65;104491.55632397966;2482.0
66;107099.75635981378;2591.0
67;109742.7369085864;2696.0
68;112382.6689849815;2798.0
69;115006.55894812549;2887.0
70;117099.6833635915;2965.0
71;119736.61839195155;3057.0
72;122428.19708968535;3150.0
73;125169.77455722124;3257.0
74;127997.44348148629;3366.0
