epoch;cumulative_distance;cumulative_waiting_time
1;0.0;0.0
2;62.41798546257917;0.0
3;181.24274026385237;1.0
4;362.4070196181334;3.0
5;615.8805304565014;5.0
6;982.705402576618;7.0
7;1436.4954752376884;9.0
8;1946.3947137000675;11.0
9;2541.1389933122546;13.0
10;3191.2161375859814;15.0
11;3880.924849196513;17.0
12;4640.079845972303;21.0
13;5479.035717477727;25.0
14;6360.082285264881;31.0
15;7292.053168366376;40.0
16;8282.936957211743;49.0
17;9311.429362389428;61.0
18;10395.732466635765;72.0
19;11514.642464484174;87.0
20;12694.684475928176;104.0
21;13917.217481200149;124.0
22;15178.546943523941;147.0
23;16458.14318696236;173.0
24;17721.462512446455;203.0
25;19009.47355805259;233.0
26;20338.726206231877;264.0
27;21712.53458095011;294.0
28;23120.52824608886;329.0
29;24551.629533098447;364.0
30;25996.03057408676;402.0
31;27482.34883758154;429.0
32;28986.861833119638;454.0
33;30550.573856681618;480.0
34;32191.436647896728;509.0
35;33899.33861590703;543.0
36;35658.495711339354;582.0
37;37472.32420061227;626.0
38;39344.85532278767;669.0
39;41235.97426636496;716.0
40;43176.65857267872;765.0
41;45147.11783562733;819.0
42;47147.21795641623;877.0
43;49147.453120221675;942.0
44;51155.50092857385;1012.0
45;53165.8133697274;1082.0
46;55231.541331691784;1151.0
47;57350.831884246334;1219.0
48;59533.698013637266;1279.0
49;61808.97055690777;1339.0
50;64177.07179063211;1400.0
51;66665.39249704465;1459.0
52;69213.26348911737;1518.0
53;71826.20689278908;1580.0
54;74462.08703707784;1648.0
55;77067.67724105147;1717.0
56;79642.81132169676;1786.0
57;82162.60987685749;1865.0
58;84605.32264315698;1955.0
59;86972.09168350678;2050.0
60;89285.10829886053;2152.0
61;91660.62780466737;2224.0
62;94095.26225665252;2288.0
63;96619.14768204415;2355.0
64;99242.29399267051;2425.0
65;101972.57566555245;2507.0
66;104751.13078196239;2601.0
67;107520.69301893948;2700.0
68;110301.9217219675;2809.0
69;113070.88698186261;2933.0
70;115834.2638916905;3062.0
71;118611.00144450349;3198.0
72;121413.39310947884;3336.0
73;124208.92369528831;3477.0
74;127007.2836074445;3622.0
