veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
62915509-62915525_vt1.0;509.53683738802465;10.0;1;70;False
62915509-62915525_vt2.0;509.8754222046715;6.0;5;78;False
42435644-593915305_vt1.0;774.8105975281969;0.0;15;93;False
42430308-42437654_vt1.0;337.49811736974397;11.0;35;94;False
42430308-42437654_vt2.0;339.72350009597915;10.0;39;99;False
5481838621-5481838629_vt1.0;227.3902990413062;20.0;47;103;False
42435644-593915274_vt1.0;810.7126620394552;0.0;8;104;False
5481838621-5481838629_vt2.0;226.12403006073993;17.0;48;108;False
593915267-593915305_vt1.0;849.0260336798337;10.0;7;109;False
42435644-593915274_vt2.0;802.7533475986857;0.0;12;113;False
42435644-593915202_vt1.0;887.4088965808745;4.0;1;119;False
593915267-593915274_vt1.0;735.1738485829451;20.0;14;121;False
42435644-593915202_vt2.0;879.6346418832662;2.0;5;124;False
5458524666-62915525_vt1.0;528.9066429907244;30.0;38;131;False
42443804-42443950_vt1.0;792.9014776810334;23.0;28;146;False
42446668-593915274_vt1.0;357.73647427061593;1.0;92;147;False
42435644-593915305_vt2.0;770.047985107092;21.0;19;149;False
593915213-62915525_vt1.0;1020.8042845426887;17.0;14;149;False
593915267-593915305_vt2.0;843.0549593566316;25.0;11;150;False
5458524666-5481838629_vt1.0;558.3570171935157;46.0;34;151;False
593915267-593915274_vt2.0;727.3326108709621;38.0;18;156;False
5458524666-5481838629_vt2.0;558.9156183706168;42.0;35;159;False
42446668-593915202_vt2.0;436.8576185509963;2.0;89;162;False
42446668-593915202_vt1.0;441.38194898685344;4.0;86;163;False
5458524666-62915525_vt2.0;520.7537342407406;46.0;42;166;False
42446668-593915305_vt1.0;323.7932626802382;22.0;101;167;False
42446668-593915305_vt2.0;315.0262243447091;22.0;102;168;False
61275600-62915525_vt1.0;1128.9637770633394;47.0;1;176;False
42443804-561042200_vt1.0;769.9376200751116;48.0;34;176;False
42446668-593915274_vt2.0;359.8504551103493;21.0;98;177;False
42435644-593915305_vt1.1;780.9631535869522;8.0;87;182;False
42443804-561042200_vt2.0;764.04796260583;41.0;37;186;False
593915213-593915305_vt1.0;1194.1850068758026;50.0;1;187;False
42435644-593915274_vt1.1;805.1420631957494;5.0;84;187;False
42430308-593915305_vt1.0;1388.7944407822883;17.0;8;189;False
42435644-42437654_vt1.0;558.7931386157468;12.0;110;191;False
42443804-42446977_vt1.0;677.6876544554394;34.0;68;192;False
42443804-42443950_vt2.0;782.8686168250229;51.0;31;192;False
42435644-42437654_vt2.0;556.2856122554232;8.0;114;197;False
593915213-62915525_vt2.0;1021.2794197234584;39.0;18;199;False
42430308-593915305_vt2.0;1388.8079800393728;12.0;12;203;False
5481838621-62915525_vt1.0;834.5411744767248;65.0;40;206;False
4215909068-42442961_vt2.0;517.7690670049916;4.0;130;209;False
42430308-42435644_vt1.0;1160.9836213034764;28.0;28;210;False
4215909068-42442961_vt1.0;524.2745913939838;7.0;126;210;False
4215909068-42424089_vt1.0;598.1508884086284;18.0;119;210;False
42430308-42443950_vt1.0;602.2033329023969;16.0;118;213;False
61275600-62915525_vt2.0;1126.4759303346207;56.0;5;213;False
593915213-593915274_vt1.0;1090.4360265084063;56.0;8;214;False
42424098-42449982_vt1.0;355.7870571832335;5.0;164;217;False
42424098-42449982_vt2.0;352.50544209693726;1.0;168;218;False
42430308-42435644_vt2.0;1155.6391075940687;25.0;32;218;False
42430308-42443950_vt2.0;599.2447982945541;11.0;122;218;False
4215909068-42424089_vt2.0;602.0571582342957;9.0;123;222;False
42431563-4546351682_vt1.0;696.9452640693689;0.0;146;224;False
42443804-42446977_vt2.0;682.5216318957301;53.0;71;225;False
593915267-62915525_vt1.0;1232.2826421701943;75.0;1;229;False
593915213-593915305_vt2.0;1195.4673587979466;60.0;5;231;False
42435644-42437654_vt1.1;558.9386553944319;2.0;169;236;False
42448390-42455963_vt1.0;521.5442588661774;59.0;88;240;False
3569749123-4207912631_vt1.0;245.277517317164;0.0;212;242;False
42429980-42447230_vt1.0;526.6108037110009;3.0;167;242;False
593915267-62915525_vt2.0;1226.6914715995747;58.0;4;242;False
42440472-42455963_vt1.0;350.66424992601105;46.0;142;243;False
593915305-62915525_vt1.0;1466.0265317433877;60.0;1;244;False
42449948-42455963_vt1.0;1205.5669353939984;34.0;70;245;False
42440472-42455963_vt2.0;343.9041908425693;41.0;145;246;False
4215909068-42449982_vt1.0;631.8965931448852;49.0;112;246;False
42431563-42440966_vt1.0;607.7712961828099;22.0;152;246;False
3569749123-4207912631_vt2.0;235.33386829042482;0.0;216;247;False
42448390-42455963_vt2.0;513.692367478763;57.0;94;247;False
593915305-62915525_vt2.0;1466.29139913622;44.0;4;247;False
4215909068-42449982_vt2.0;629.6532507534587;39.0;116;248;False
42429980-42447230_vt2.0;522.3068846573588;4.0;172;249;False
593915213-593915274_vt2.0;1080.3001315899076;77.0;11;250;False
42430308-593915274_vt1.0;1284.2840020181684;56.0;21;253;False
42429980-42449982_vt1.0;366.13992287215035;24.0;175;253;False
42443804-42453087_vt1.0;1549.8689648544616;7.0;62;254;False
42431563-42440966_vt2.0;611.6654797027076;18.0;156;255;False
4207932666-42453545_vt1.0;546.230578572671;11.0;175;255;False
42430308-593915274_vt2.0;1288.5034682999012;54.0;25;261;False
4207932666-42453545_vt2.0;533.56394206029;6.0;179;262;False
42440472-42453087_vt1.0;778.663267715844;29.0;136;262;False
42435644-42443950_vt1.0;1231.4820797587995;15.0;103;265;False
4215909068-42443618_vt1.1;342.94578694598226;11.0;213;265;False
42443804-561042200_vt1.1;776.0912252037047;38.0;136;266;False
42429980-42431656_vt1.0;660.1959690868513;16.0;158;267;False
42435644-593915305_vt1.2;771.7183964228531;12.0;167;271;False
42436527-42449982_vt1.0;281.3437542823206;41.0;152;272;False
42429980-42431656_vt2.0;651.693308915837;7.0;162;272;False
42440472-42453087_vt2.0;773.598739613638;26.0;139;273;False
42436527-42449982_vt2.0;272.40955402389477;38.0;156;275;False
42424098-42442961_vt1.0;885.271746008678;10.0;157;275;False
42446668-62915525_vt1.0;1312.5150983848723;35.0;68;275;False
42435644-42443950_vt2.0;1224.4477703261382;15.0;107;276;False
42435644-593915274_vt1.2;805.2520703482917;14.0;164;276;False
42429980-42449982_vt2.0;363.38652323195345;41.0;179;283;False
42430308-593915202_vt1.0;1362.5684437478853;85.0;15;284;False
42424098-42442961_vt2.0;879.287918082062;5.0;161;285;False
1283225231-4546351682_vt1.0;507.16485575245264;0.0;232;287;False
42430308-593915202_vt2.0;1353.419848024979;74.0;18;288;False
4215909068-42447230_vt1.0;1247.4945284225232;38.0;102;289;False
42435644-593915202_vt1.2;882.164306925615;20.0;161;289;False
4215909068-42424089_vt1.1;602.6062505785703;18.0;204;293;False
62915509-62915525_vt1.1;510.70354395195716;0.0;241;294;False
4215909068-42443618_vt1.0;1070.065465192598;27.0;139;295;False
42430308-42437654_vt1.1;343.80719450548463;2.0;256;301;False
3569749123-42446977_vt1.0;647.2233506891824;22.0;205;303;False
42446668-5458524665_vt1.0;1302.7230165818467;40.0;74;306;False
42435644-593915202_vt1.1;1976.257371872072;12.0;81;306;False
3569749123-42446977_vt2.0;645.136897013019;10.0;209;309;False
5458524666-62915525_vt1.1;522.6882112007595;0.0;254;310;False
42424098-42431656_vt1.0;1113.951054660149;29.0;143;312;False
42435644-42437654_vt1.2;567.0302514202126;21.0;222;314;False
42448390-42453087_vt2.0;965.7902262780516;75.0;85;315;False
42435644-42443950_vt1.1;1232.7967178336844;11.0;166;316;False
4207932666-42453545_vt1.1;545.4755489850495;0.0;260;316;False
1283225231-4207815982_vt1.0;474.0241831626414;19.0;239;317;False
42424098-42431656_vt2.0;1102.0081747812094;26.0;147;317;False
42430308-561042200_vt1.0;1555.4114031506765;23.0;106;318;False
1283225231-4546351682_vt2.0;509.84253072461286;15.0;235;319;False
4207932666-62915525_vt1.0;1061.829786015839;14.0;163;319;False
1283225231-4207815982_vt2.0;474.43724990374665;11.0;242;320;False
4215909068-42431656_vt2.0;1377.581358787903;38.0;99;321;False
42430308-42453545_vt1.0;2090.7846455422773;83.0;1;322;False
5458524666-593915305_vt1.0;2060.21048288024;65.0;8;323;False
4215909068-42431656_vt1.0;1395.4321033543267;54.0;95;323;False
42435644-42453545_vt1.0;1622.474297750494;41.0;97;324;False
42424098-42447230_vt1.0;971.921991950294;52.0;150;326;False
4207932666-62915525_vt2.0;1058.4359875322052;8.0;165;326;False
42449948-42449982_vt1.0;1438.296470378844;92.0;56;327;False
4215909068-42449982_vt1.1;636.6021618212519;42.0;201;327;False
42430736-42440966_vt1.0;1424.224191452873;27.0;141;327;False
42455662-4546351682_vt1.0;1563.7176759523343;85.0;69;328;False
5481838621-5481838629_vt1.1;231.79880326301173;39.0;256;328;False
42443804-62915525_vt1.0;2229.1164566784432;55.0;28;328;False
42430308-42453545_vt2.0;2088.4421136594137;51.0;5;332;False
42443804-42453545_vt1.0;2244.797336158743;40.0;14;334;False
42443804-593915274_vt1.0;2383.7086313205978;59.0;8;335;False
42430308-561042200_vt2.0;1556.989610915531;14.0;110;335;False
42429980-42442961_vt1.0;906.2361882150134;51.0;152;336;False
42424098-42447230_vt2.0;970.409219200821;44.0;154;337;False
42429980-42442961_vt2.0;906.6475973920071;40.0;156;338;False
42446668-593915305_vt1.1;318.56545354019215;21.0;284;344;False
42431563-4546351682_vt2.0;1002.695279536619;49.0;150;344;False
42443804-42455963_vt1.0;1751.2571156134804;45.0;55;346;False
42443804-42455963_vt2.0;1747.3763504791602;40.0;58;346;False
3874681649-5481838629_vt2.0;510.2619377448372;15.0;250;346;False
42443804-4546351682_vt1.0;2345.4415310274876;53.0;22;346;False
42446668-593915274_vt1.1;363.9255247828337;22.0;282;350;False
42446668-4599130022_vt1.0;1572.6734769501857;79.0;61;350;False
4215909068-42443618_vt1.2;337.45169712868096;7.0;301;351;False
42430736-5481838629_vt1.0;1413.349872875223;45.0;148;352;False
42443804-593915202_vt1.0;2150.189531677225;81.0;21;352;False
42449948-561042200_vt2.0;1624.4739189346421;61.0;67;352;False
