epoch;cumulative_distance;cumulative_waiting_time
1;0.0;0.0
2;62.41798546257917;0.0
3;181.24274026385237;1.0
4;362.4070196181334;3.0
5;615.8805304565014;5.0
6;982.705402576618;7.0
7;1436.4954752376884;9.0
8;1946.3947137000675;11.0
9;2541.1389933122546;13.0
10;3191.2161375859814;15.0
11;3880.924849196513;17.0
12;4640.079845972303;21.0
13;5479.035717477727;25.0
14;6360.082285264881;31.0
15;7292.053168366376;40.0
16;8282.936957211743;49.0
17;9311.429362389428;61.0
18;10395.732466635765;72.0
19;11514.642464484174;87.0
20;12694.684475928176;104.0
21;13917.217481200149;124.0
22;15178.546943523941;147.0
23;16458.14318696236;173.0
24;17721.462512446455;203.0
25;19001.439405141697;237.0
26;20309.695188354228;276.0
27;21647.626377001932;316.0
28;23018.46275645644;360.0
29;24400.67210051938;408.0
30;25799.040597665688;461.0
31;27205.798384478418;515.0
32;28634.577724759034;572.0
33;30125.587709434392;630.0
34;31657.337658667104;685.0
35;33207.50262733751;745.0
36;34798.515904500724;804.0
37;36417.501400992645;864.0
38;38080.67182248768;924.0
39;39776.30542556454;989.0
40;41514.91342310346;1057.0
41;43264.25204667268;1124.0
42;45015.9726826926;1192.0
43;46764.72703284733;1262.0
44;48520.852672206835;1332.0
45;50258.02101691117;1404.0
46;52000.35713951493;1467.0
47;53739.760097304556;1529.0
48;55496.34883738013;1596.0
49;57291.908479362515;1674.0
50;59129.18170589142;1760.0
51;61047.57594673513;1845.0
52;63015.63461813144;1936.0
53;65007.742549517905;2031.0
54;67038.1610936382;2132.0
55;69107.28981101657;2234.0
56;71220.02677025278;2340.0
57;73367.26867074965;2456.0
58;75537.10538264642;2580.0
59;77731.56127049464;2703.0
60;79944.23914639329;2835.0
61;82166.37556145024;2969.0
62;84416.58794806448;3108.0
63;86696.53758056271;3253.0
64;88979.52287598343;3404.0
65;91258.74182034394;3562.0
66;93528.46981667091;3725.0
67;95800.90870885509;3893.0
68;98112.28914198423;4070.0
69;100458.5078537047;4253.0
70;102814.36367619022;4439.0
71;105194.3171634879;4631.0
72;107598.66969559502;4824.0
73;109990.20110208588;5023.0
