epoch;cumulative_distance;cumulative_waiting_time
1;0.0;0.0
2;62.41798546257917;0.0
3;181.24274026385237;1.0
4;362.4070196181334;3.0
5;615.8805304565014;5.0
6;982.705402576618;7.0
7;1436.4954752376884;9.0
8;1946.3947137000675;11.0
9;2541.1389933122546;13.0
10;3191.2161375859814;15.0
11;3880.924849196513;17.0
12;4640.079845972303;21.0
13;5479.035717477727;25.0
14;6360.082285264881;31.0
15;7292.053168366376;40.0
16;8282.936957211743;49.0
17;9311.429362389428;61.0
18;10395.732466635765;72.0
19;11514.642464484174;87.0
20;12694.684475928176;104.0
21;13917.217481200149;124.0
22;15178.546943523941;147.0
23;16458.14318696236;173.0
24;17721.462512446455;203.0
25;19009.47355805259;233.0
26;20338.726206231877;264.0
27;21712.53458095011;294.0
28;23120.52824608886;329.0
29;24551.629533098447;364.0
30;25996.03057408676;402.0
31;27482.34883758154;429.0
32;28986.861833119638;454.0
33;30550.573856681618;480.0
34;32191.436647896728;509.0
35;33899.33861590703;543.0
36;35658.495711339354;582.0
37;37472.32420061227;626.0
38;39344.85532278767;669.0
39;41235.97426636496;716.0
40;43176.65857267872;765.0
41;45147.11783562733;819.0
42;47147.21795641623;877.0
43;49147.453120221675;942.0
44;51155.50092857385;1012.0
45;53165.8133697274;1082.0
46;55207.54960759714;1164.0
47;57262.32451681007;1256.0
48;59322.38231495448;1354.0
49;61376.3345620868;1458.0
50;63434.25888936197;1565.0
51;65554.33560944657;1659.0
52;67737.0974189805;1744.0
53;70018.27819392111;1822.0
54;72386.73850414553;1892.0
55;74836.45269555348;1964.0
56;77362.52883477465;2040.0
57;79905.29745819903;2123.0
58;82430.1966383764;2217.0
59;84903.7741817537;2315.0
60;87290.42878413385;2425.0
61;89687.49698121083;2499.0
62;92154.12109157408;2564.0
63;94669.06981365274;2626.0
64;97272.78235419511;2693.0
65;99965.36054479184;2770.0
66;102707.42365932735;2857.0
67;105455.89027778152;2958.0
68;108192.24268226518;3069.0
69;110891.98701615667;3194.0
70;113569.18075757983;3333.0
71;116219.5865710362;3482.0
72;118849.37523915566;3640.0
73;121461.7306377935;3803.0
74;124074.6500532939;3973.0
