epoch;cumulative_distance;cumulative_waiting_time
1;0.0;0.0
2;62.41798546257917;0.0
3;181.24274026385237;1.0
4;362.4070196181334;3.0
5;615.8805304565014;5.0
6;982.705402576618;7.0
7;1436.4954752376884;9.0
8;1946.3947137000675;11.0
9;2541.1389933122546;13.0
10;3191.2161375859814;15.0
11;3880.924849196513;17.0
12;4640.079845972303;21.0
13;5479.035717477727;25.0
14;6360.082285264881;31.0
15;7292.053168366376;40.0
16;8282.936957211743;49.0
17;9311.429362389428;61.0
18;10395.732466635765;72.0
19;11514.642464484174;87.0
20;12694.684475928176;104.0
21;13917.217481200149;124.0
22;15178.546943523941;147.0
23;16458.14318696236;173.0
24;17721.462512446455;203.0
25;19001.439405141697;237.0
26;20309.695188354228;276.0
27;21643.784861741628;318.0
28;23001.41309126343;365.0
29;24361.92962721104;418.0
30;25733.491187189204;474.0
31;27090.128986269614;537.0
32;28458.56549971727;608.0
33;29849.540592710848;687.0
34;31254.537979521927;768.0
35;32644.906701348526;854.0
36;34039.87902464773;946.0
37;35420.33408059001;1047.0
38;36812.876716191735;1151.0
39;38203.878483035405;1263.0
40;39592.38251248016;1380.0
41;40960.445780228736;1504.0
42;42335.75612039894;1632.0
43;43701.28287816513;1768.0
44;45047.38110255881;1909.0
45;46405.23033277739;2054.0
46;47774.58920110836;2204.0
47;49141.67859962472;2353.0
48;50483.56814456531;2502.0
49;51791.7369201375;2649.0
50;53084.87820335095;2801.0
51;54366.21863278392;2961.0
52;55621.767334616925;3129.0
53;56802.22395757166;3312.0
54;57981.816208905446;3478.0
55;59197.19323977458;3632.0
56;60502.75289984615;3789.0
57;61919.64899781392;3945.0
58;63453.352473307175;4102.0
59;65077.61653433285;4252.0
60;66825.31429504651;4397.0
61;68676.3090591203;4540.0
62;70576.24440781154;4686.0
63;72535.11750932691;4828.0
64;74556.62052056594;4967.0
65;76615.94429380225;5109.0
66;78727.30246927275;5254.0
67;80894.70628810824;5402.0
68;83105.69001791994;5546.0
69;85354.51026360647;5691.0
70;87616.03996493337;5845.0
71;89907.56764297184;6005.0
72;92228.61680269589;6169.0
73;94563.50962171273;6340.0
