veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
42430308-42437654_vt1.0;342.45030079357764;0.0;35;81;False
42430308-42437654_vt2.0;333.3816673666027;0.0;39;85;False
5481838621-5481838629_vt1.0;229.9485399540249;1.0;75;107;False
5481838621-5481838629_vt2.0;228.8780795522249;0.0;76;112;False
62915509-62915525_vt1.0;511.6610388801638;53.0;1;116;False
62915509-62915525_vt2.0;507.9919590990035;46.0;5;123;False
5458524666-5481838629_vt1.0;555.1969555290814;41.0;25;134;False
5458524666-62915525_vt1.0;529.337197711227;45.0;26;136;False
5458524666-5481838629_vt2.0;557.8160370123779;4.0;66;143;False
42435644-593915305_vt1.0;777.9007005736294;49.0;15;157;False
593915267-593915274_vt1.0;731.5018322583859;49.0;14;158;False
42435644-593915305_vt2.0;770.4804134316264;40.0;19;162;False
593915213-593915305_vt1.0;1203.125755605196;36.0;1;165;False
593915267-593915274_vt2.0;727.4666893725631;42.0;18;165;False
593915267-593915305_vt1.0;843.0551982527204;70.0;7;175;False
593915213-62915525_vt1.0;1025.8180950714284;47.0;14;175;False
593915213-593915274_vt1.0;1081.602774285047;41.0;8;178;False
593915267-593915305_vt2.0;844.7635096223177;60.0;11;186;False
42443804-42446977_vt1.0;686.6465487067437;34.0;68;191;False
42443804-42446977_vt2.0;686.5553388634333;26.0;71;193;False
42448390-42455963_vt1.0;522.6849193226052;48.0;86;204;False
42446668-593915202_vt1.0;436.75081094365726;40.0;114;205;False
42435644-593915274_vt1.0;810.7652592768179;92.0;8;208;False
42435644-593915202_vt1.0;887.5751058340637;98.0;1;211;False
42448390-42455963_vt2.0;516.290134786173;47.0;90;211;False
42446668-593915305_vt1.0;319.9076889726555;45.0;127;216;False
42435644-593915274_vt2.0;807.1855094987432;81.0;12;217;False
42446668-593915305_vt2.0;318.35735922295305;45.0;128;218;False
42446668-593915274_vt1.0;361.5401097913631;49.0;121;219;False
42443804-561042200_vt1.0;774.3345899794216;80.0;34;220;False
42446668-593915202_vt2.0;430.5832845971529;40.0;118;221;False
4215909068-42443618_vt2.0;337.4611853393526;28.0;145;221;False
42443804-42443950_vt1.0;785.7051834904646;97.0;27;222;False
42446668-593915274_vt2.0;361.51913393503423;46.0;124;222;False
4215909068-42443618_vt1.0;339.19438272169896;32.0;144;223;False
42435644-593915202_vt2.0;878.8640570435196;91.0;5;224;False
61275600-62915525_vt1.0;1131.803366488835;107.0;1;229;False
42443804-561042200_vt2.0;767.6716338226652;75.0;38;231;False
42430308-42443950_vt1.0;603.0990896546311;28.0;131;235;False
42431563-42440966_vt1.0;610.3500063805466;1.0;156;235;False
4215909068-42455963_vt2.0;491.8063769298982;30.0;140;237;False
3569749123-4207912631_vt1.0;247.0389326054137;0.0;213;240;False
42430308-593915305_vt1.0;1388.120164000193;61.0;8;244;False
42435644-593915305_vt1.2;774.7842050588213;28.0;127;245;False
42435644-593915305_vt1.1;780.3086887731747;87.0;67;245;False
42430308-42437654_vt1.1;336.9581936115816;7.0;196;246;False
3569749123-4207912631_vt2.0;237.27316763086714;0.0;216;247;False
42430308-42443950_vt2.0;599.7503945166625;26.0;134;248;False
42430308-593915305_vt2.0;1390.5784021742384;49.0;12;252;False
593915213-593915305_vt2.0;1192.513308580148;91.0;5;252;False
593915213-62915525_vt2.0;1020.1737293143815;99.0;18;257;False
