epoch;cumulative_distance;cumulative_waiting_time
1;0.0;0.0
2;62.98956819190468;0.0
3;186.7040904297687;0.0
4;375.24888522477397;1.0
5;640.845621357623;2.0
6;1022.3543566211615;3.0
7;1482.8351193553017;4.0
8;2014.7817717480116;5.0
9;2631.4654317562863;6.0
10;3289.8882762221847;8.0
11;3984.6154163196043;11.0
12;4739.808039620526;14.0
13;5568.238052922528;22.0
14;6451.120574827243;31.0
15;7366.796955765219;42.0
16;8310.847177531567;55.0
17;9296.014057002712;68.0
18;10341.591509311253;82.0
19;11449.56635242707;97.0
20;12639.191974195084;112.0
21;13881.82379707559;127.0
22;15179.076820993556;143.0
23;16490.929912250733;162.0
24;17805.83406487611;183.0
25;19139.98463169686;208.0
26;20514.73714729224;236.0
27;21918.088134180194;270.0
28;23326.4781335821;309.0
29;24752.472067363815;350.0
30;26197.487237581696;395.0
31;27654.918894611634;449.0
32;29162.24400841913;507.0
33;30685.17373649223;570.0
34;32224.853901619135;637.0
35;33778.44455657179;712.0
36;35315.341527615994;789.0
37;36832.64682520334;876.0
38;38346.15181191983;970.0
39;39864.78961795657;1073.0
40;41381.822554012055;1181.0
41;42882.834187848675;1293.0
42;44379.81884692253;1411.0
43;45887.91849633484;1531.0
44;47405.55499663999;1651.0
45;48940.16314638577;1774.0
46;50503.43197191341;1901.0
47;52110.16489819026;2033.0
48;53763.07693802301;2167.0
49;55417.9695336345;2304.0
50;57084.04522211585;2441.0
51;58752.85291222828;2575.0
52;60405.39193601904;2710.0
53;62066.86048878618;2846.0
54;63722.427710043965;2987.0
55;65392.98728586207;3132.0
56;67095.83514941037;3281.0
57;68827.44825949596;3432.0
58;70602.84114977499;3587.0
59;72408.565207758;3749.0
60;74233.44644415462;3914.0
61;76073.08613044083;4082.0
62;77950.28655704622;4251.0
63;79838.2114793238;4420.0
64;81736.03722263406;4590.0
65;83657.14401723628;4764.0
66;85610.28851397197;4938.0
67;87599.36961952307;5115.0
68;89598.76360893493;5292.0
69;91604.28552313782;5480.0
70;93627.06080377393;5672.0
71;95635.20703854683;5874.0
72;97614.18520834907;6078.0
73;99574.23769883874;6288.0
74;101539.65365254124;6499.0
75;103519.22655418636;6716.0
76;105506.72050567217;6933.0
77;107525.92001795728;7147.0
78;109568.49423880126;7367.0
79;111643.29725253969;7592.0
80;113731.22657342636;7817.0
81;115813.65718567584;8045.0
82;117867.62035820966;8281.0
83;119929.69035653278;8520.0
84;121994.56889485981;8764.0
85;124051.28994781998;9013.0
86;125598.41964360084;9240.0
87;127631.29196474585;9504.0
88;129642.63054207557;9778.0
89;131627.13114643263;10062.0
90;133587.92986499055;10354.0
91;135535.54280576814;10652.0
92;137485.7849483122;10947.0
93;138685.68220871463;11232.0
94;140676.9613756563;11511.0
95;142235.22433035972;11758.0
96;144393.76279748982;12022.0
97;146665.7084144485;12274.0
98;149047.83161605554;12515.0
99;151492.74702630975;12744.0
100;154033.47985648198;12975.0
101;156625.70134701868;13200.0
102;159226.6632013828;13423.0
103;161775.56700310376;13646.0
104;164290.72965317857;13879.0
105;166762.8797669475;14122.0
106;169178.7253218905;14377.0
107;171561.39617791143;14642.0
108;173910.00438686632;14921.0
109;176185.4003400638;15197.0
110;178417.16695902744;15479.0
111;180666.71315545333;15769.0
112;182932.2223407171;16075.0
113;185226.8097000939;16385.0
114;187548.14825218532;16703.0
115;189889.47006698436;17024.0
116;192262.5315346852;17344.0
117;194687.71046924533;17666.0
118;197147.08483139364;17988.0
119;199646.71703557356;18308.0
120;201862.67412497074;18589.0
121;204459.89978614938;18909.0
122;207088.2488134274;19226.0
123;208931.48479580935;19524.0
124;211250.85592804308;19818.0
125;213939.76612471;20153.0
126;216682.72428106455;20485.0
127;219473.38389679475;20821.0
128;222298.53557131614;21158.0
129;225119.35496796487;21493.0
130;227921.51781872328;21831.0
131;230473.99237832418;22114.0
132;233256.5986734916;22472.0
133;235233.3506632069;22808.0
134;238038.39766855503;23163.0
135;240882.58683290496;23528.0
136;243457.28868056173;23837.0
137;246251.93631002604;24203.0
138;249026.61045584708;24572.0
139;251776.0985797853;24944.0
140;254531.7132280341;25311.0
141;257331.70465307878;25663.0
142;259375.3718200435;25992.0
143;262246.4325240858;26325.0
144;265145.0263551603;26654.0
145;268124.1694913899;26972.0
146;271169.9902354737;27290.0
147;274256.5097919497;27600.0
148;277437.6486412395;27905.0
149;280646.3260855221;28216.0
150;283137.69678317115;28513.0
151;286426.2222414438;28822.0
152;289776.36999877234;29130.0
153;292624.44540866534;29387.0
154;296019.885997986;29707.0
155;299436.01211754937;30041.0
156;302865.01616647036;30382.0
157;306287.24444900156;30728.0
158;309692.1123092567;31092.0
159;312184.80630406016;31405.0
160;314919.39139380696;31767.0
161;318192.00940957584;32140.0
162;321437.1341432634;32515.0
163;324663.6408986002;32893.0
164;327136.2665614739;33224.0
165;330316.8301700101;33619.0
166;332647.4978555033;33967.0
167;335009.6762962041;34349.0
168;338069.15935601713;34754.0
169;341058.63069086405;35161.0
170;343971.9348912754;35585.0
171;346067.94436032773;35960.0
172;348864.7608869472;36395.0
173;351616.5114378934;36842.0
174;354315.4298329998;37296.0
175;356160.76399216603;37703.0
176;358758.6926803043;38180.0
177;361280.5961483463;38670.0
178;363724.06935293955;39168.0
179;366077.28033169627;39673.0
180;366789.51977077645;40088.0
181;369040.7718863297;40595.0
182;371318.0009007131;41106.0
183;373621.59228916175;41609.0
184;376004.25344920275;42116.0
185;378502.02195558074;42611.0
186;381117.943118228;43103.0
187;383860.3991871467;43592.0
188;386750.6374371277;44080.0
189;389774.1510414997;44564.0
