veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
42430308-42437654_vt1.0;343.15752231431287;0.0;35;76;False
42430308-42437654_vt2.0;340.54390854916994;0.0;39;83;False
62915509-62915525_vt1.0;511.3268623549741;38.0;1;100;False
62915509-62915525_vt2.0;511.84158362397375;31.0;5;108;False
5481838621-5481838629_vt1.0;231.51380133945202;38.0;53;122;False
42435644-593915305_vt1.0;771.4207377688288;20.0;15;123;False
42435644-593915305_vt2.0;768.5411362715131;8.0;19;129;False
5458524666-62915525_vt2.0;521.1680612450596;3.0;54;131;False
5458524666-62915525_vt1.0;522.9902800218366;29.0;26;133;False
593915267-593915274_vt1.0;727.5990984630536;26.0;14;135;False
593915267-593915274_vt2.0;732.2496910803674;19.0;18;142;False
593915213-593915305_vt1.0;1201.161403554771;20.0;1;151;False
593915213-593915274_vt1.0;1085.6508168451996;13.0;8;155;False
5481838621-5481838629_vt2.0;224.01876297744786;73.0;54;165;False
593915213-593915274_vt2.0;1083.8992304472558;6.0;11;165;False
5458524666-5481838629_vt1.0;554.5657751183693;61.0;25;167;False
5458524666-5481838629_vt2.0;557.0732553868083;35.0;53;171;False
42435644-593915274_vt1.0;808.0160922212119;48.0;8;173;False
42435644-593915202_vt1.0;878.5908246560826;59.0;1;174;False
42446668-593915305_vt1.0;317.30805718039954;22.0;115;177;False
42435644-593915202_vt2.0;880.1893954106296;42.0;5;179;False
42435644-593915274_vt2.0;805.6533374492017;46.0;12;180;False
5481838621-62915525_vt1.0;840.494452282022;43.0;46;185;False
42446668-593915274_vt1.0;365.1604866067547;29.0;111;188;False
42446668-593915305_vt2.0;312.8834135762602;26.0;120;190;False
42443804-561042200_vt1.0;766.7061302223568;59.0;34;193;False
42446668-593915274_vt2.0;359.39769317872214;28.0;113;195;False
42430308-42443950_vt1.0;611.126720004532;9.0;111;197;False
593915267-593915305_vt1.0;848.6317018390247;85.0;7;197;False
42435644-593915305_vt1.1;774.6354919015049;24.0;87;199;False
593915213-593915305_vt2.0;1196.0951665406385;40.0;5;202;False
593915267-593915305_vt2.0;840.6275430065045;68.0;11;202;False
42430308-593915305_vt1.0;1394.73167508453;27.0;8;203;False
42443804-561042200_vt2.0;770.1619463520422;55.0;37;204;False
5481838621-62915525_vt2.0;832.3495131075698;44.0;50;206;False
42430308-42443950_vt2.0;600.2747743695636;0.0;130;208;False
61275600-62915525_vt1.0;1128.0547043592514;76.0;1;208;False
4215909068-42443618_vt2.0;335.585765456373;9.0;152;212;False
593915213-62915525_vt1.0;1019.2134654350468;70.0;14;213;False
42448390-42455963_vt1.0;516.6721961945257;52.0;88;215;False
42443804-42446977_vt1.0;685.2947460308383;68.0;68;221;False
593915213-62915525_vt2.0;1018.5143785807558;57.0;18;221;False
42448390-42455963_vt2.0;516.8464857402967;51.0;92;223;False
42431563-42440966_vt1.0;611.2326304339387;7.0;156;234;False
42435644-593915274_vt1.1;812.7313209317794;40.0;84;235;False
42435644-42437654_vt1.0;560.0677665665569;48.0;104;236;False
42443804-42443950_vt1.0;793.7498690178311;112.0;27;236;False
42443804-42443950_vt2.0;783.8394785718073;95.0;31;237;False
42435644-42437654_vt2.0;559.2148953240232;37.0;108;238;False
3569749123-4207912631_vt1.0;246.11780528076923;0.0;214;241;False
42446668-593915202_vt1.0;434.30694033312216;68.0;105;242;False
42431563-42440966_vt2.0;609.6303169449998;3.0;159;243;False
42446668-593915202_vt2.0;433.9701668730465;65.0;108;247;False
3569749123-4207912631_vt2.0;235.62385701162276;0.0;217;248;False
42435644-593915202_vt1.1;887.534759827791;47.0;81;251;False
4215909068-42442961_vt1.0;526.0343389516132;55.0;129;253;False
42449948-42453087_vt1.0;1016.0711403389953;23.0;94;253;False
42440472-42455963_vt1.0;351.66889866223477;38.0;172;254;False
4207932666-42453545_vt1.0;536.1031744775505;18.0;172;254;False
4215909068-42424089_vt1.0;604.8279200479622;59.0;122;256;False
61275600-62915525_vt2.0;1126.6775860480705;98.0;5;256;False
4215909068-42442961_vt2.0;524.1085263386238;46.0;133;260;False
42449948-42453087_vt2.0;1011.6895953671458;16.0;98;260;False
42440472-42455963_vt2.0;349.2444078076299;36.0;177;261;False
4207932666-42453545_vt2.0;539.9471204845592;11.0;175;263;False
4215909068-42424089_vt2.0;598.8069885254149;56.0;126;264;False
42436527-42449982_vt1.0;282.96659799486946;60.0;153;265;False
42436527-42449982_vt2.0;276.71706701925956;60.0;157;269;False
4215909068-42443618_vt1.1;339.10501698423764;5.0;219;269;False
42431563-4546351682_vt1.0;694.8949320297652;35.0;149;272;False
42435644-593915305_vt1.2;780.4110592009488;19.0;167;272;False
42429980-42449982_vt1.0;367.89565429023185;22.0;203;278;False
42440472-42453087_vt1.0;778.3049164717643;22.0;164;278;False
42448390-42453087_vt1.0;967.1394718958275;72.0;81;280;False
42431563-4546351682_vt2.0;696.2699116573939;39.0;153;282;False
42429980-42449982_vt2.0;355.68359900585415;20.0;207;282;False
593915267-62915525_vt1.0;1230.2075203732666;142.0;1;288;False
42430308-593915274_vt1.0;1288.1287223055976;85.0;21;288;False
42430308-593915305_vt2.0;1392.7786500300822;87.0;12;289;False
42448390-42453087_vt2.0;961.9101367236493;67.0;85;291;False
42430308-42437654_vt1.1;336.6516015569446;0.0;256;292;False
42435644-42443950_vt1.0;1232.7659415920627;46.0;97;294;False
593915267-62915525_vt2.0;1227.7261473656922;117.0;4;295;False
42430308-593915274_vt2.0;1286.977827997353;84.0;25;296;False
593915305-62915525_vt1.0;1465.2545899685545;101.0;1;297;False
593915305-62915525_vt2.0;1463.0413494181255;83.0;4;300;False
42435644-593915274_vt1.2;811.4483110044079;39.0;164;301;False
42446668-62915525_vt1.0;1306.0322846629565;50.0;84;302;False
42443804-42453545_vt1.0;2247.25877179277;40.0;14;303;False
3569749123-42446977_vt1.0;647.8847944031032;14.0;207;304;False
1283225231-4546351682_vt1.0;514.2828017416246;12.0;235;305;False
42443804-62915525_vt1.0;2233.4592412804654;42.0;29;308;False
3569749123-42446977_vt2.0;651.3583191319589;10.0;211;309;False
42449948-42455963_vt1.0;1201.7164882491825;73.0;87;310;False
42435644-42437654_vt1.1;560.2493339982609;82.0;152;311;False
1283225231-4546351682_vt2.0;507.71736214580795;9.0;238;314;False
42449948-42455963_vt2.0;1199.3447251065202;49.0;91;314;False
5481838621-5481838629_vt1.1;228.4474000543476;29.0;257;317;False
42430308-42443804_vt1.0;1089.7684842831593;64.0;110;322;False
42429980-42447230_vt2.0;522.0846464129323;42.0;200;322;False
42430308-593915202_vt1.0;1352.8318449108913;106.0;15;322;False
4215909068-42449982_vt2.0;626.6234803173338;104.0;119;323;False
42430308-42443804_vt2.0;1085.6731615595218;46.0;126;324;False
62915509-62915525_vt1.1;512.3275519093295;26.0;241;326;False
42430308-593915202_vt2.0;1354.7162653619444;104.0;18;328;False
42435644-593915202_vt1.2;882.815924388329;56.0;161;329;False
4207932666-42453545_vt1.1;537.8381958964089;13.0;256;329;False
42430308-42435644_vt1.0;1161.721610836712;144.0;28;330;False
42446668-593915305_vt1.1;323.869641614839;5.0;284;331;False
42430308-42435644_vt2.0;1157.329135105351;137.0;32;338;False
42443804-561042200_vt1.1;767.5244587397867;108.0;136;340;False
4215909068-42455963_vt1.1;491.6274534780655;57.0;215;341;False
5458524666-62915525_vt1.1;523.1185849401892;24.0;256;341;False
4215909068-42443618_vt1.2;340.47910346194726;0.0;306;342;False
42435644-593915305_vt1.3;776.4215291660807;13.0;247;347;False
42435644-42443950_vt2.0;1223.6155906964373;75.0;101;349;False
42446668-5458524665_vt1.0;1303.0670305659073;79.0;91;351;False
42430308-561042200_vt2.0;1554.351472302742;26.0;107;351;False
4207932666-5458524665_vt1.0;1057.2192158701334;34.0;166;352;False
42443804-593915202_vt1.0;2148.0067657591458;91.0;21;352;False
42430308-561042200_vt1.0;1556.440033344885;22.0;105;353;False
593915305-62915525_vt1.1;1468.8694351680883;87.0;81;354;False
42424098-42449982_vt1.0;350.2920908539778;131.0;165;355;False
5458524666-561042200_vt1.0;2430.1500388092945;86.0;1;355;False
42443804-593915202_vt2.0;2150.19007151553;51.0;24;356;False
4207932666-62915525_vt1.0;1060.8740350095416;52.0;161;356;False
42440472-42453087_vt2.0;777.8240329437924;80.0;169;356;False
42424098-42449982_vt2.0;349.09301267710964;129.0;169;359;False
3569749123-4207912631_vt1.1;237.9599329262273;0.0;334;360;False
1283225231-4207815982_vt1.0;471.786386396616;53.0;241;361;False
42435644-42443950_vt1.1;1226.4086692407122;63.0;149;361;False
4215909068-42449982_vt1.1;637.0842206898627;60.0;208;362;False
42424098-42442961_vt1.0;889.8202543446065;97.0;158;363;False
42455662-4546351682_vt1.0;1563.742522845049;117.0;65;364;False
1283225231-4207815982_vt2.0;472.2561128361578;50.0;244;364;False
4207932666-62915525_vt2.0;1059.0201404524134;45.0;163;364;False
4207932666-5458524665_vt2.0;1052.1845934601158;49.0;169;366;False
