veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
62915509-62915525_vt1.0;517.9982250699222;23.0;1;86;False
62915509-62915525_vt2.0;507.1971945454297;15.0;5;93;False
42430308-42437654_vt1.0;338.60305753257745;27.0;34;106;False
42430308-42437654_vt2.0;339.0635393760819;25.0;37;110;False
42435644-593915305_vt1.0;776.9181994211132;12.0;15;114;False
593915267-593915274_vt1.0;736.481162131443;7.0;14;114;False
42435644-593915305_vt2.0;770.5549342946638;2.0;19;119;False
593915267-593915274_vt2.0;730.8738846146016;4.0;18;120;False
593915267-593915305_vt1.0;842.2064004211213;24.0;7;130;False
5481838621-5481838629_vt1.0;225.98740671069618;40.0;58;133;False
5481838621-5481838629_vt2.0;226.99758789072052;37.0;59;138;False
593915267-593915305_vt2.0;838.6952426348116;15.0;11;141;False
5458524666-5481838629_vt1.0;554.9749648893983;43.0;25;142;False
5458524666-62915525_vt1.0;528.0495547544424;45.0;26;146;False
42435644-593915274_vt1.0;805.870676582502;28.0;8;152;False
42435644-593915202_vt1.0;882.2020545029941;43.0;1;158;False
42435644-593915274_vt2.0;801.8761098903703;26.0;12;159;False
42443804-561042200_vt1.0;775.0093540299486;25.0;34;161;False
42446668-593915305_vt1.0;317.31863175312367;19.0;103;167;False
42446668-593915305_vt2.0;316.5098571452912;17.0;105;169;False
42446668-593915274_vt2.0;357.0581948319747;20.0;100;171;False
42443804-561042200_vt2.0;765.2248947443571;20.0;38;171;False
42435644-593915305_vt1.1;776.1299886266206;20.0;67;174;False
593915213-62915525_vt1.0;1025.5688716233035;46.0;14;182;False
42443804-42443950_vt1.0;783.4257251943857;63.0;27;190;False
42443804-42446977_vt1.0;684.102324666268;28.0;69;191;False
42443804-42443950_vt2.0;786.0072001256989;45.0;31;192;False
42443804-42446977_vt2.0;685.4601963133609;26.0;72;194;False
42435644-593915202_vt2.0;880.6822192456958;60.0;5;197;False
593915213-62915525_vt2.0;1017.1106388000574;39.0;18;197;False
