veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
42430308-42437654_vt1.0;339.461930755841;0.0;35;75;False
42430308-42437654_vt2.0;336.89588889509906;0.0;38;81;False
62915509-62915525_vt1.0;509.54795715418584;37.0;1;101;False
62915509-62915525_vt2.0;510.08194594640315;32.0;5;109;False
5458524666-62915525_vt1.0;525.8739538603363;30.0;26;123;False
42435644-593915305_vt1.0;776.271347419535;33.0;15;135;False
593915267-593915274_vt1.0;731.1319946852303;24.0;14;135;False
42435644-593915305_vt2.0;773.0587671412281;20.0;19;140;False
593915267-593915274_vt2.0;725.1055386452038;20.0;18;141;False
593915213-593915305_vt1.0;1200.7085649344633;21.0;1;151;False
593915267-593915305_vt1.0;846.8016991025232;49.0;7;154;False
5481838621-5481838629_vt1.0;228.66386483311152;63.0;66;163;False
593915267-593915305_vt2.0;842.7527600594863;39.0;11;165;False
5481838621-5481838629_vt2.0;226.09701653503905;60.0;67;168;False
5458524666-5481838629_vt1.0;555.0386103985602;72.0;25;170;False
5458524666-5481838629_vt2.0;552.9873266376192;44.0;56;176;False
42435644-593915274_vt1.0;809.253631372284;47.0;8;180;False
42435644-593915202_vt1.0;886.4791478406695;69.0;1;183;False
42435644-593915274_vt2.0;805.2426951812091;45.0;12;187;False
42443804-561042200_vt1.0;768.5368759614546;51.0;34;190;False
42435644-593915202_vt2.0;878.7531223251157;55.0;5;191;False
42446668-593915305_vt1.0;319.1083517721034;30.0;116;191;False
42446668-593915274_vt1.0;365.21069811199584;31.0;112;192;False
42446668-593915305_vt2.0;319.99580471250465;30.0;117;193;False
42446668-593915274_vt2.0;358.4620838883165;29.0;114;199;False
42443804-561042200_vt2.0;771.0457596014351;45.0;38;201;False
42430308-593915305_vt1.0;1394.8354826382636;31.0;8;210;False
42435644-593915305_vt1.1;774.8584682197152;35.0;86;210;False
593915213-62915525_vt1.0;1019.9358025348787;75.0;14;213;False
42448390-42453087_vt1.0;973.0616181676344;25.0;82;216;False
42430308-42443950_vt2.0;602.3601936108303;3.0;132;217;False
42430308-42443950_vt1.0;603.3541950968206;5.0;126;219;False
593915213-62915525_vt2.0;1020.7318811484736;60.0;18;221;False
593915267-62915525_vt1.0;1231.8219608352513;82.0;1;223;False
42431563-4546351682_vt1.0;699.5487821251373;1.0;147;236;False
42443804-42446977_vt1.0;859.3356352129144;45.0;71;236;False
42424098-42449982_vt1.0;355.4558525884194;9.0;165;236;False
42435644-42437654_vt1.0;560.5932377840109;41.0;115;236;False
42443804-42443950_vt1.0;789.1231806468072;102.0;27;236;False
593915267-62915525_vt2.0;1226.158088838341;70.0;4;236;False
42443804-42443950_vt2.0;782.5676874494771;85.0;31;237;False
42435644-42437654_vt2.0;560.4734109436267;32.0;118;238;False
42431563-4546351682_vt2.0;690.4089360721066;0.0;151;239;False
42424098-42449982_vt2.0;347.69724487328494;8.0;169;239;False
593915305-62915525_vt1.0;1473.55654599829;62.0;1;239;False
42446668-593915202_vt2.0;432.70917548514507;69.0;109;242;False
42446668-593915202_vt1.0;436.50255993798714;71.0;105;243;False
42435644-593915274_vt1.1;811.142097394114;62.0;83;249;False
61275600-62915525_vt1.0;1124.645262106974;126.0;1;250;False
4215909068-42442961_vt1.0;525.1422880184018;54.0;126;252;False
42430308-42435644_vt1.0;1155.167945464849;74.0;28;254;False
4207932666-42453545_vt1.0;538.0160990821246;14.0;177;254;False
42431563-42440966_vt1.0;612.5728357379786;27.0;154;254;False
4215909068-42424089_vt1.0;600.901763501993;61.0;119;255;False
3569749123-4207912631_vt1.0;245.50419026684455;16.0;203;257;False
4215909068-42442961_vt2.0;518.6451773211645;52.0;130;259;False
3569749123-4207912631_vt2.0;242.91375353339316;15.0;207;260;False
4207932666-42453545_vt2.0;532.741290105466;10.0;181;262;False
42431563-42440966_vt2.0;605.6951046735314;26.0;157;262;False
42435644-593915202_vt1.1;880.1770789806649;67.0;81;263;False
42430308-42435644_vt2.0;1156.6184716315033;69.0;32;263;False
4215909068-42424089_vt2.0;602.1074403033887;56.0;123;264;False
42449948-42455963_vt1.0;1201.5619087526547;39.0;98;266;False
4215909068-42449982_vt2.0;629.2181215680148;64.0;116;266;False
61275600-62915525_vt2.0;1125.7048033052176;120.0;5;275;False
42448390-42453087_vt2.0;962.7324953754227;61.0;86;280;False
1283225231-4546351682_vt1.0;509.4967026106781;0.0;232;284;False
42435644-593915305_vt1.2;775.0533614514413;29.0;167;285;False
42430308-593915305_vt2.0;1384.6319397109787;90.0;12;288;False
42430308-42437654_vt1.1;340.6908070091857;0.0;256;292;False
593915213-593915274_vt2.0;1082.069554354262;117.0;11;292;False
593915213-593915305_vt2.0;1195.2858829458023;118.0;5;293;False
3569749123-42446977_vt1.0;656.706581025138;17.0;198;294;False
593915213-593915274_vt1.0;1083.515086469008;127.0;8;294;False
593915305-62915525_vt2.0;1466.5395200695343;95.0;4;296;False
42430308-593915274_vt1.0;1293.561695598146;93.0;21;297;False
42446668-62915525_vt1.0;1308.6711448907113;54.0;85;298;False
4215909068-42453087_vt2.0;941.7962418853497;61.0;111;299;False
42435644-42443950_vt1.0;1224.1843504326537;49.0;108;303;False
42443804-593915202_vt1.0;2152.428359953068;48.0;21;305;False
42443804-42443950_vt1.1;784.84400805307;86.0;133;310;False
42446668-62915525_vt2.0;1303.6033716647744;51.0;89;310;False
42443804-42446977_vt1.1;685.9029233154386;66.0;151;311;False
42435644-42437654_vt1.1;558.5575575092804;48.0;186;311;False
42430308-593915274_vt2.0;1285.1436518519174;104.0;25;312;False
5481838621-5481838629_vt1.1;225.66677175868057;24.0;256;316;False
42443804-62915525_vt1.0;2232.6019950025557;49.0;29;316;False
42429980-42449982_vt1.0;362.79778054297697;38.0;230;317;False
42440472-42455963_vt1.0;348.3509503682832;60.0;209;318;False
42448390-42449982_vt1.0;1002.3497550502717;114.0;75;319;False
