epoch;cumulative_distance;cumulative_waiting_time
1;0.0;0.0
2;62.41798546257917;0.0
3;181.24274026385237;1.0
4;362.4070196181334;3.0
5;615.8805304565014;5.0
6;982.705402576618;7.0
7;1436.4954752376884;9.0
8;1946.3947137000675;11.0
9;2541.1389933122546;13.0
10;3191.2161375859814;15.0
11;3880.924849196513;17.0
12;4640.079845972303;21.0
13;5479.035717477727;25.0
14;6360.082285264881;31.0
15;7292.053168366376;40.0
16;8282.936957211743;49.0
17;9311.429362389428;61.0
18;10395.732466635765;72.0
19;11514.642464484174;87.0
20;12694.684475928176;104.0
21;13917.217481200149;124.0
22;15178.546943523941;147.0
23;16458.14318696236;173.0
24;17721.462512446455;203.0
25;19001.439405141697;237.0
26;20309.695188354228;276.0
27;21643.784861741628;318.0
28;23001.41309126343;365.0
29;24361.92962721104;418.0
30;25733.491187189204;474.0
31;27090.128986269614;537.0
32;28458.56549971727;608.0
33;29849.540592710848;687.0
34;31254.537979521927;768.0
35;32644.551583676377;854.0
36;34038.231791994556;944.0
37;35419.32972855316;1041.0
38;36825.72233135479;1140.0
39;38230.153739656584;1246.0
40;39664.57113553551;1355.0
41;41090.7991332911;1465.0
42;42535.67475143505;1577.0
43;43998.151699779155;1698.0
44;45496.234074371125;1811.0
45;47063.35284392915;1918.0
46;48697.645463179;2018.0
47;50407.72535593807;2117.0
48;52158.4453628255;2210.0
49;53939.14969872512;2296.0
50;55740.00867115545;2380.0
51;57587.726318341694;2468.0
52;59453.789053246364;2561.0
53;61286.18044124014;2662.0
54;63121.96156278828;2753.0
55;65015.630761689856;2842.0
56;66984.4201447021;2933.0
57;69020.43760818752;3026.0
58;71106.36741559318;3122.0
59;73250.99038478387;3216.0
60;75446.35460738672;3319.0
61;77685.9404799297;3428.0
62;79962.3254066582;3543.0
63;82262.73181086348;3661.0
64;84594.50041878832;3780.0
65;86924.85814017354;3903.0
66;89274.15233887882;4034.0
67;91638.17081277841;4171.0
68;94022.09329105649;4316.0
69;96419.77957862966;4470.0
70;98806.95743795583;4628.0
71;101222.78196282755;4795.0
72;103643.40913679531;4968.0
73;106074.83364416742;5151.0
